time_s,collective_pitch_real,altitude_real,ambient_pressure_real,ambient_temp_real,air_density_real,engine_load_real,throttle_real,engine_rpm_real,fuel_pressure_real,fuel_temperature_real,fuel_flow_rate_real,injector_duty_cycle_real,is_clogged_injector,is_fuel_overheat,is_rpm_droop,is_sensor_drift,impending_is_clogged_injector,impending_is_fuel_overheat,impending_is_rpm_droop,impending_is_sensor_drift
0.0,0.0,-1.7196720875379548,101392.27563751474,14.977236073697021,1.2301218481383558,0.962917175126729,0.11261100115246987,100.36249462244142,29.932314582380233,15.415957108842552,0.0,0.0,False,False,False,False,False,False,False,False
0.1,0.06,-1.0977468914845208,101405.29630054218,15.581634302570306,1.2236801002505728,-0.17815513085885976,0.3241299714702708,100.04548497955837,30.52308999220851,14.877166034694614,0.0012252572684438925,0.0010002,False,False,False,False,False,False,False,False
0.2,0.12,-0.33827444853108685,101316.31434620975,14.771257893030624,1.2186273168748272,-0.655068500517233,-0.21014842892288776,99.9355336957774,30.68037697894915,15.309054646102314,0.002450514536887785,0.0020004,False,False,False,False,False,False,False,False
0.30000000000000004,0.18000000000000002,0.8575884638605547,101309.69389360331,13.833185077134413,1.232118635658703,-2.060751109192155,-0.005769265824192682,98.8165966108958,29.758755363848152,15.45826039590332,0.0036757718053316785,0.0030006000000000004,False,False,False,False,False,False,False,False
0.4,0.24,0.7460208126080918,101290.7747973206,14.541664506524937,1.2338208095293663,0.9261116717076879,1.1097909065520721,99.75741283024621,30.849923718189615,14.98428233104718,0.00490102907377557,0.0040008,False,False,False,False,False,False,False,False
0.5,0.3,-1.8519993759484685,101327.3277663556,15.43675042367838,1.2388092108136448,1.5322405437112407,0.13799339800428523,98.78675231846476,29.84590793965969,14.930206743893713,0.006126286342219464,0.005000999999999999,False,False,False,False,False,False,False,False
0.6000000000000001,0.36000000000000004,-1.7395975794935423,101358.84975521061,14.524913708390326,1.224113454327336,2.6962951612786346,1.1103900947195728,100.96725765472766,29.96220589460162,14.934470552579496,0.007351543610663357,0.006001200000000001,False,False,False,False,False,False,False,False
0.7000000000000001,0.42000000000000004,-0.4646697478917772,101320.48373396898,15.574976449439243,1.221227430180821,1.2595493521942833,-0.16253535824578869,100.14934863717082,29.42454734515233,15.02712755116111,0.008576800879107251,0.007001400000000001,False,False,False,False,False,False,False,False
0.8,0.48,-1.5337449887965011,101335.51276952005,15.184960760564808,1.2428080942274684,1.9199462519177304,0.1781116299902884,99.60358271976499,29.874136231503176,15.526699466492534,0.00980205814755114,0.0080016,False,False,False,False,False,False,False,False
0.9,0.54,1.365190529306382,101313.52103418115,14.921137424700884,1.2235876817141855,1.3825207493755265,0.6236554742689053,100.78668886398023,30.369752244916285,16.103119282568624,0.011027315415995035,0.0090018,False,False,False,False,False,False,False,False
1.0,0.6,0.7810151115236998,101313.80867003535,13.987970713582433,1.2131875509689507,0.378602911706829,1.500139326886098,99.29167347000866,30.380564250623777,14.631231730023348,0.012252572684438927,0.010001999999999999,False,False,False,False,False,False,False,False
1.1,0.66,-2.5781191056848907,101328.22392031821,13.927947483623383,1.2239200857469044,1.2996452138869996,1.0010459536295768,100.56045678132679,29.853335705929247,15.126394617422633,0.01347782995288282,0.011002199999999998,False,False,False,False,False,False,False,False
